latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-18.42,145.308,346.6,1.3,1.1,2020-01-01,50,Terra,MODIS,91,6.0NRT,307.7,61.7,D
-14.474,143.581,351.4,1.0,1.0,2020-01-01,50,Terra,MODIS,95,6.0NRT,300.4,55.8,D
-21.417,140.841,352.2,1.0,1.0,2020-01-01,50,Terra,MODIS,94,6.0NRT,315.7,38.5,D
-21.369,140.702,371.4,1.0,1.0,2020-01-01,50,Terra,MODIS,100,6.0NRT,312.0,97.3,D
-21.367,140.692,363.8,1.0,1.0,2020-01-01,50,Terra,MODIS,100,6.0NRT,315.5,71.8,D
-19.627,144.557,350.2,1.3,1.1,2020-01-01,50,Terra,MODIS,93,6.0NRT,310.8,59.0,D
-19.414,143.359,352.7,1.1,1.0,2020-01-01,50,Terra,MODIS,95,6.0NRT,300.9,61.1,D
-35.759,136.799,382.1,1.0,1.0,2020-01-01,55,Terra,MODIS,100,6.0NRT,294.5,152.5,D
-35.757,136.788,392.4,1.0,1.0,2020-01-01,55,Terra,MODIS,100,6.0NRT,301.1,198.9,D
-35.75,136.744,344.9,1.0,1.0,2020-01-01,55,Terra,MODIS,92,6.0NRT,295.7,41.3,D
-35.75,136.801,395.4,1.0,1.0,2020-01-01,55,Terra,MODIS,100,6.0NRT,312.0,218.7,D
-35.748,136.79,399.9,1.0,1.0,2020-01-01,55,Terra,MODIS,100,6.0NRT,324.0,242.5,D
-35.746,136.779,359.5,1.0,1.0,2020-01-01,55,Terra,MODIS,99,6.0NRT,304.9,73.3,D
-35.741,136.746,356.2,1.0,1.0,2020-01-01,55,Terra,MODIS,97,6.0NRT,300.5,65.8,D
-35.741,136.803,379.8,1.0,1.0,2020-01-01,55,Terra,MODIS,100,6.0NRT,315.2,144.2,D
-35.739,136.792,389.4,1.0,1.0,2020-01-01,55,Terra,MODIS,100,6.0NRT,314.2,186.6,D
-35.734,136.759,369.3,1.0,1.0,2020-01-01,55,Terra,MODIS,100,6.0NRT,307.0,104.7,D
-35.732,136.805,400.6,1.0,1.0,2020-01-01,55,Terra,MODIS,100,6.0NRT,315.3,251.2,D
-35.727,136.772,362.6,1.0,1.0,2020-01-01,55,Terra,MODIS,94,6.0NRT,307.6,84.3,D
-35.723,136.807,369.7,1.0,1.0,2020-01-01,55,Terra,MODIS,100,6.0NRT,305.2,110.1,D
-35.721,136.796,351.5,1.0,1.0,2020-01-01,55,Terra,MODIS,95,6.0NRT,305.2,59.5,D
-35.719,136.785,359.0,1.0,1.0,2020-01-01,55,Terra,MODIS,93,6.0NRT,306.6,75.5,D
-35.77,141.337,411.8,1.3,1.1,2020-01-01,55,Terra,MODIS,100,6.0NRT,318.8,468.4,D
-35.768,141.322,351.3,1.3,1.1,2020-01-01,55,Terra,MODIS,94,6.0NRT,314.7,75.0,D
-35.76,141.338,347.4,1.3,1.1,2020-01-01,55,Terra,MODIS,92,6.0NRT,311.7,65.5,D
-28.453,128.474,347.9,3.7,1.8,2020-01-01,55,Terra,MODIS,92,6.0NRT,308.8,298.9,D
