year,annual_total_burned_area,rank_by_total_burned_area,percentile_band,dominant_category
1990,30.00,26,Typical years,Tropical Savanna Woodlands
1991,29.00,27,Typical years,Tropical Savanna Woodlands
1992,27.00,30,Typical years,Tropical Savanna Woodlands
1993,27.00,31,Typical years,Tropical Savanna Woodlands
1994,28.00,29,Typical years,Tropical Savanna Woodlands
1995,29.00,28,Typical years,Tropical Savanna Woodlands
1996,36.00,25,Typical years,Tropical Savanna Woodlands
1997,38.00,24,Typical years,Tropical Savanna Woodlands
1998,39.00,23,Typical years,Tropical Savanna Woodlands
1999,43.00,20,Typical years,Tropical Savanna Woodlands
2000,46.00,17,Typical years,Tropical Savanna Woodlands
2001,46.00,18,Typical years,Tropical Savanna Woodlands
2002,41.00,22,Typical years,Tropical Savanna Woodlands
2003,42.00,21,Typical years,Tropical Savanna Woodlands
2004,45.00,19,Typical years,Tropical Savanna Woodlands
2005,48.00,13,Typical years,Tropical Savanna Woodlands
2006,50.00,10,Typical years,Tropical Savanna Woodlands
2007,51.00,9,Typical years,Tropical Savanna Woodlands
2008,47.00,15,Typical years,Tropical Savanna Woodlands
2009,50.00,11,Typical years,Arid & Semi-Arid Rangelands
2010,55.00,3,High-burn years,Arid & Semi-Arid Rangelands
2011,52.00,7,High-burn years,Arid & Semi-Arid Rangelands
2012,55.00,4,High-burn years,Arid & Semi-Arid Rangelands
2013,50.00,12,Typical years,Arid & Semi-Arid Rangelands
2014,55.00,5,High-burn years,Arid & Semi-Arid Rangelands
2015,60.00,1,Extreme years,Arid & Semi-Arid Rangelands
2016,55.00,6,High-burn years,Arid & Semi-Arid Rangelands
2017,58.00,2,Extreme years,Arid & Semi-Arid Rangelands
2018,48.00,14,Typical years,Arid & Semi-Arid Rangelands
2019,52.00,8,High-burn years,Tropical Savanna Woodlands
2020,47.00,16,Typical years,Tropical Savanna Woodlands
