"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Republic of Korea-Australia Migratory Bird Agreement (ROKAMBA)","South Australia : Conservation Status","Bonn Convention Migratory Taxa","China-Australia Migratory Bird Agreement (CAMBA)","Victoria : Conservation Status","Japan-Australia Migratory Bird Agreement (JAMBA)","Australian Capital Territory : Conservation Status","Tasmania : Conservation Status","Queensland : Conservation Status","EPBC Act Threatened Species","Northern Territory : Conservation Status","New South Wales : Conservation Status","Western Australia : Conservation status","Western Australia : Conservation status: Priority 4","Western Australia : Conservation status: Priority 3","Western Australia : Conservation status: Priority 2","Western Australia : Conservation status: Priority 1","QLD State Notifiable Pests","SA State Notifiable Pests","Weeds of National Significance (WoNS) as at Feb. 2013","WA State Notifiable Pests","NSW State Notifiable Pests","NT State Notifiable Pests","ACT State Notifiable Pests","Key Australian weed species list (ABS)","Key Australian feral animal species list (ABS)","VIC State Notifiable Pests"
"https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531","Wallabia bicolor","Desmarest, 1804","species","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Wallabia","Swamp Wallaby","109531","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/97a59c84-af21-4cdc-bac7-a97c5201db42","Rhipidura (Rhipidura) albiscapa","Gould, 1840","species","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Grey Fantail","57269","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/7af45089-4a0f-4303-a417-1708623809af","Colluricincla (Colluricincla) harmonica","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Colluricincla","Grey Shrike-thrush","54490","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/e8f3c958-c71f-4ee9-b2a0-230bed965e35","Caligavis chrysops","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Caligavis","Yellow-faced Honeyeater","53680","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/8cecdfa3-4c71-467e-b8fb-312cc347dfa0","Cormobates leucophaea","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Climacteridae","Cormobates","White-throated Treecreeper","53486","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/eb315a61-418b-4a12-bc98-9096fe17bde9","Strepera (Strepera) graculina","(Shaw, 1790)","species","Animalia","Chordata","Aves","Passeriformes","Artamidae","Strepera","Pied Currawong","51161","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/ee2cb6a9-e17c-4ca7-8aef-76d69eb969ed","Trichosurus vulpecula","(Kerr, 1792)","species","Animalia","Chordata","Mammalia","Diprotodontia","Phalangeridae","Trichosurus","Common Brushtail Possum","50003","","Rare","","","","","","","","","Endangered","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/ae56080e-4e73-457d-93a1-0be6a1d50f34","Malurus (Malurus) cyaneus","(Ellis, 1782)","species","Animalia","Chordata","Aves","Passeriformes","Maluridae","Malurus","Superb Fairy-wren","49621","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/62f6a29a-7b0c-4e5c-83ea-0074f99d133b","Acanthiza (Acanthiza) pusilla","(Shaw, 1790)","species","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Brown Thornbill","48541","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/944960f7-4a3f-4de8-a1fd-0f037af45a23","Menura (Menura) novaehollandiae","Latham, 1801","species","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Superb Lyrebird","46274","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/5e0f496f-5045-41ff-8c03-f3c8fd4f8ccd","Platycercus (Platycercus) elegans","(Gmelin, 1788)","species","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Platycercus","Crimson Rosella","44744","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/2b0e8999-4326-42b9-922a-cfc48a15661a","Eopsaltria (Eopsaltria) australis","(Shaw, 1790)","species","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Eopsaltria","Eastern Yellow Robin","44669","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/1fc76c4d-4830-4129-9b86-1c7e944c3c50","Dacelo (Dacelo) novaeguineae","(Hermann, 1783)","species","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Laughing Kookaburra","44155","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/5291343e-fdeb-4a65-8ba5-928f5b96acf5","Gymnorhina tibicen","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Artamidae","Gymnorhina","Australian Magpie","43487","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/031b2b69-e9fc-44c6-9df9-03c1470d5ec3","Sericornis (Sericornis) frontalis","(Vigors & Horsfield, 1827)","species","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Sericornis","White-browed Scrubwren","40248","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/e522d60c-f64e-499e-82ac-2d5b4d8ed27a","Rattus fuscipes","(Waterhouse, 1839)","species","Animalia","Chordata","Mammalia","Rodentia","Muridae","Rattus","Bush Rat","40163","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/5254fe03-630b-44b2-9233-df51a7b8f25f","Pardalotus (Pardalotus) punctatus","(Shaw, 1792)","species","Animalia","Chordata","Aves","Passeriformes","Pardalotidae","Pardalotus","Spotted Pardalote","38530","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/2c1a9dfc-56b2-404d-b8fa-360110d04167","Acanthorhynchus tenuirostris","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Acanthorhynchus","Eastern Spinebill","38042","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://biodiversity.org.au/afd/taxa/7d461feb-7587-49b6-9f8e-897069e3b8a8","Psophodes (Psophodes) olivaceus","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Psophodidae","Psophodes","Eastern Whipbird","34040","","","","","","","","","","","","","","","","","","","","","","","","","","",""
