state_code,state_name,fire_season,season_order,planned_burned_cells,unplanned_burned_cells,total_burned_cells,unplanned_share_pct,planned_label,unplanned_label,total_label,unplanned_share_label,southeast_focus
ACT,Australian Capital Territory,2016–17,1,567,0,567,0,567,0,567,0%,Yes
ACT,Australian Capital Territory,2017–18,2,1264,88,1352,6.51,1.3K,88,1.4K,7%,Yes
ACT,Australian Capital Territory,2018–19,3,2165,219,2384,9.19,2.2K,219,2.4K,9%,Yes
ACT,Australian Capital Territory,2019–20,4,2,82324,82326,100,2,82.3K,82.3K,100%,Yes
ACT,Australian Capital Territory,2020–21,5,144,0,144,0,144,0,144,0%,Yes
NSW,New South Wales,2016–17,1,12969,168250,181219,92.84,13.0K,168.3K,181.2K,93%,Yes
NSW,New South Wales,2017–18,2,240034,22037,262071,8.41,240.0K,22.0K,262.1K,8%,Yes
NSW,New South Wales,2018–19,3,2932,229930,232862,98.74,2.9K,229.9K,232.9K,99%,Yes
NSW,New South Wales,2019–20,4,4222,4912322,4916544,99.91,4.2K,4.9M,4.9M,100%,Yes
NSW,New South Wales,2020–21,5,31021,11672,42693,27.34,31.0K,11.7K,42.7K,27%,Yes
NT,Northern Territory,2016–17,1,3158189,1798168,4956357,36.28,3.2M,1.8M,5.0M,36%,No
NT,Northern Territory,2017–18,2,4986903,3645219,8632122,42.23,5.0M,3.6M,8.6M,42%,No
NT,Northern Territory,2018–19,3,3201900,4936087,8137987,60.65,3.2M,4.9M,8.1M,61%,No
NT,Northern Territory,2019–20,4,2598483,4566760,7165243,63.73,2.6M,4.6M,7.2M,64%,No
NT,Northern Territory,2020–21,5,3158318,2668423,5826741,45.8,3.2M,2.7M,5.8M,46%,No
QLD,Queensland,2016–17,1,1253387,6271872,7525259,83.34,1.3M,6.3M,7.5M,83%,No
QLD,Queensland,2017–18,2,1514496,4420894,5935390,74.48,1.5M,4.4M,5.9M,74%,No
QLD,Queensland,2018–19,3,1884823,4860362,6745185,72.06,1.9M,4.9M,6.7M,72%,No
QLD,Queensland,2019–20,4,1525279,4383865,5909144,74.19,1.5M,4.4M,5.9M,74%,No
QLD,Queensland,2020–21,5,1111066,3097103,4208169,73.6,1.1M,3.1M,4.2M,74%,No
SA,South Australia,2016–17,1,7993,13717,21710,63.18,8.0K,13.7K,21.7K,63%,Yes
SA,South Australia,2017–18,2,1692,5788,7480,77.38,1.7K,5.8K,7.5K,77%,Yes
SA,South Australia,2018–19,3,2438,2537,4975,50.99,2.4K,2.5K,5.0K,51%,Yes
SA,South Australia,2019–20,4,1076,170589,171665,99.37,1.1K,170.6K,171.7K,99%,Yes
SA,South Australia,2020–21,5,3579,7858,11437,68.71,3.6K,7.9K,11.4K,69%,Yes
TAS,Tasmania,2016–17,1,16816,5349,22165,24.13,16.8K,5.3K,22.2K,24%,No
TAS,Tasmania,2017–18,2,17029,8958,25987,34.47,17.0K,9.0K,26.0K,34%,No
TAS,Tasmania,2018–19,3,14036,110924,124960,88.77,14.0K,110.9K,125.0K,89%,No
TAS,Tasmania,2019–20,4,11708,32891,44599,73.75,11.7K,32.9K,44.6K,74%,No
TAS,Tasmania,2020–21,5,13951,1952,15903,12.27,14.0K,2.0K,15.9K,12%,No
VIC,Victoria,2016–17,1,43210,6533,49743,13.13,43.2K,6.5K,49.7K,13%,Yes
VIC,Victoria,2017–18,2,35846,37987,73833,51.45,35.8K,38.0K,73.8K,51%,Yes
VIC,Victoria,2018–19,3,56222,193927,250149,77.52,56.2K,193.9K,250.1K,78%,Yes
VIC,Victoria,2019–20,4,23261,1410538,1433799,98.38,23.3K,1.4M,1.4M,98%,Yes
VIC,Victoria,2020–21,5,66689,3849,70538,5.46,66.7K,3.8K,70.5K,5%,Yes
WA,Western Australia,2016–17,1,858984,202003,1060987,19.04,859.0K,202.0K,1.1M,19%,No
WA,Western Australia,2017–18,2,342911,402289,745200,53.98,342.9K,402.3K,745.2K,54%,No
WA,Western Australia,2018–19,3,223563,597328,820891,72.77,223.6K,597.3K,820.9K,73%,No
WA,Western Australia,2019–20,4,190834,1183529,1374363,86.11,190.8K,1.2M,1.4M,86%,No
WA,Western Australia,2020–21,5,254704,77405,332109,23.31,254.7K,77.4K,332.1K,23%,No
