fire_season,month_name,month_order,detection_count
2018-19,Jul,1,19514
2018-19,Aug,2,18172
2018-19,Sep,3,27553
2018-19,Oct,4,52975
2018-19,Nov,5,44252
2018-19,Dec,6,28043
2018-19,Jan,7,23078
2018-19,Feb,8,13956
2018-19,Mar,9,9670
2018-19,Apr,10,13220
2018-19,May,11,17085
2018-19,Jun,12,18235
2019-20,Jul,1,21983
2019-20,Aug,2,16254
2019-20,Sep,3,19757
2019-20,Oct,4,28696
2019-20,Nov,5,47138
2019-20,Dec,6,81412
2019-20,Jan,7,36994
2019-20,Feb,8,6826
2019-20,Mar,9,4046
2019-20,Apr,10,7718
2019-20,May,11,15859
2019-20,Jun,12,13112
2020-21,Jul,1,16993
2020-21,Aug,2,6215
2020-21,Sep,3,8035
2020-21,Oct,4,11659
2020-21,Nov,5,21927
2020-21,Dec,6,6140
2020-21,Jan,7,2295
2020-21,Feb,8,1505
2020-21,Mar,9,4156
2020-21,Apr,10,17555
2020-21,May,11,25703
2020-21,Jun,12,9829
2021-22,Jul,1,14008
2021-22,Aug,2,17701
2021-22,Sep,3,14620
2021-22,Oct,4,28465
2021-22,Nov,5,21675
2021-22,Dec,6,14436
2021-22,Jan,7,6540
2021-22,Feb,8,2325
2021-22,Mar,9,9399
2021-22,Apr,10,14354
2021-22,May,11,23606
2021-22,Jun,12,13991
2022-23,Jul,1,16734
2022-23,Aug,2,17903
2022-23,Sep,3,13130
2022-23,Oct,4,13054
2022-23,Nov,5,21067
2022-23,Dec,6,8175
2022-23,Jan,7,2328
2022-23,Feb,8,3674
2022-23,Mar,9,13084
2022-23,Apr,10,19149
2022-23,May,11,34259
2022-23,Jun,12,16480
2023-24,Jul,1,14795
2023-24,Aug,2,19771
2023-24,Sep,3,47953
2023-24,Oct,4,126483
2023-24,Nov,5,55600
2023-24,Dec,6,42157
2023-24,Jan,7,9891
2023-24,Feb,8,3332
2023-24,Mar,9,4710
2023-24,Apr,10,19496
2023-24,May,11,18914
2023-24,Jun,12,13998
