state,fire_season,detection_count
NSW,2018-19,13157
NSW,2019-20,92441
NSW,2020-21,10678
NSW,2021-22,7495
NSW,2022-23,9847
NSW,2023-24,15169
VIC,2018-19,5162
VIC,2019-20,20664
VIC,2020-21,4376
VIC,2021-22,2355
VIC,2022-23,4145
VIC,2023-24,5606
QLD,2018-19,63610
QLD,2019-20,52998
QLD,2020-21,42870
QLD,2021-22,40550
QLD,2022-23,40048
QLD,2023-24,79153
SA,2018-19,3543
SA,2019-20,5193
SA,2020-21,1194
SA,2021-22,1242
SA,2022-23,1987
SA,2023-24,5042
WA,2018-19,118785
WA,2019-20,58038
WA,2020-21,29875
WA,2021-22,54770
WA,2022-23,55113
WA,2023-24,101964
TAS,2018-19,3392
TAS,2019-20,1305
TAS,2020-21,638
TAS,2021-22,467
TAS,2022-23,633
TAS,2023-24,869
NT,2018-19,78035
NT,2019-20,67220
NT,2020-21,42342
NT,2021-22,74194
NT,2022-23,67225
NT,2023-24,169232
ACT,2018-19,27
ACT,2019-20,1856
ACT,2020-21,13
ACT,2021-22,6
ACT,2022-23,12
ACT,2023-24,20
