fire_season,month_name,month_order,detection_count
2018-19,Jul,1,1763
2018-19,Aug,2,2503
2018-19,Sep,3,1856
2018-19,Oct,4,989
2018-19,Nov,5,537
2018-19,Dec,6,1290
2018-19,Jan,7,1434
2018-19,Feb,8,1690
2018-19,Mar,9,2569
2018-19,Apr,10,2995
2018-19,May,11,2863
2018-19,Jun,12,1400
2019-20,Jul,1,1425
2019-20,Aug,2,2187
2019-20,Sep,3,4535
2019-20,Oct,4,4810
2019-20,Nov,5,26094
2019-20,Dec,6,45255
2019-20,Jan,7,27351
2019-20,Feb,8,3905
2019-20,Mar,9,1292
2019-20,Apr,10,1689
2019-20,May,11,1161
2019-20,Jun,12,450
2020-21,Jul,1,404
2020-21,Aug,2,556
2020-21,Sep,3,578
2020-21,Oct,4,365
2020-21,Nov,5,643
2020-21,Dec,6,155
2020-21,Jan,7,314
2020-21,Feb,8,543
2020-21,Mar,9,2631
2020-21,Apr,10,7255
2020-21,May,11,2524
2020-21,Jun,12,293
2021-22,Jul,1,244
2021-22,Aug,2,1059
2021-22,Sep,3,889
2021-22,Oct,4,456
2021-22,Nov,5,138
2021-22,Dec,6,983
2021-22,Jan,7,270
2021-22,Feb,8,392
2021-22,Mar,9,2866
2021-22,Apr,10,1917
2021-22,May,11,1521
2021-22,Jun,12,363
2022-23,Jul,1,335
2022-23,Aug,2,370
2022-23,Sep,3,302
2022-23,Oct,4,158
2022-23,Nov,5,435
2022-23,Dec,6,470
2022-23,Jan,7,381
2022-23,Feb,8,783
2022-23,Mar,9,2250
2022-23,Apr,10,7032
2022-23,May,11,2693
2022-23,Jun,12,782
2023-24,Jul,1,951
2023-24,Aug,2,1884
2023-24,Sep,3,1467
2023-24,Oct,4,2125
2023-24,Nov,5,3720
2023-24,Dec,6,2869
2023-24,Jan,7,553
2023-24,Feb,8,847
2023-24,Mar,9,2613
2023-24,Apr,10,5786
2023-24,May,11,2595
2023-24,Jun,12,427
