state_code,state_name,season,planned_burn_count,unplanned_burn_count,total_burn_count,unplanned_share,unplanned_share_pct,centroid_lon,centroid_lat,planned_label,unplanned_label,total_label,unplanned_share_label
WA,"Western Australia","2016–17",858984,202003,1060987,0.190392,19.04,121.6,-25.9,"859.0K","202.0K","1.1M","19%"
WA,"Western Australia","2017–18",342911,402289,745200,0.539840,53.98,121.6,-25.9,"342.9K","402.3K","745.2K","54%"
WA,"Western Australia","2018–19",223563,597328,820891,0.727658,72.77,121.6,-25.9,"223.6K","597.3K","820.9K","73%"
WA,"Western Australia","2019–20",190834,1183529,1374363,0.861147,86.11,121.6,-25.9,"190.8K","1.2M","1.4M","86%"
WA,"Western Australia","2020–21",254704,77405,332109,0.233071,23.31,121.6,-25.9,"254.7K","77.4K","332.1K","23%"
NT,"Northern Territory","2016–17",3158189,1798168,4956357,0.362800,36.28,133.8,-19.5,"3.2M","1.8M","5.0M","36%"
NT,"Northern Territory","2017–18",4986903,3645219,8632122,0.422285,42.23,133.8,-19.5,"5.0M","3.6M","8.6M","42%"
NT,"Northern Territory","2018–19",3201900,4936087,8137987,0.606549,60.65,133.8,-19.5,"3.2M","4.9M","8.1M","61%"
NT,"Northern Territory","2019–20",2598483,4566760,7165243,0.637349,63.73,133.8,-19.5,"2.6M","4.6M","7.2M","64%"
NT,"Northern Territory","2020–21",3158318,2668423,5826741,0.457961,45.80,133.8,-19.5,"3.2M","2.7M","5.8M","46%"
QLD,"Queensland","2016–17",1253387,6271872,7525259,0.833443,83.34,144.7,-22.5,"1.3M","6.3M","7.5M","83%"
QLD,"Queensland","2017–18",1514496,4420894,5935390,0.744836,74.48,144.7,-22.5,"1.5M","4.4M","5.9M","74%"
QLD,"Queensland","2018–19",1884823,4860362,6745185,0.720568,72.06,144.7,-22.5,"1.9M","4.9M","6.7M","72%"
QLD,"Queensland","2019–20",1525279,4383865,5909144,0.741878,74.19,144.7,-22.5,"1.5M","4.4M","5.9M","74%"
QLD,"Queensland","2020–21",1111066,3097103,4208169,0.735974,73.60,144.7,-22.5,"1.1M","3.1M","4.2M","74%"
SA,"South Australia","2016–17",7993,13717,21710,0.631829,63.18,135,-30,"8.0K","13.7K","21.7K","63%"
SA,"South Australia","2017–18",1692,5788,7480,0.773797,77.38,135,-30,"1.7K","5.8K","7.5K","77%"
SA,"South Australia","2018–19",2438,2537,4975,0.509950,50.99,135,-30,"2.4K","2.5K","5.0K","51%"
SA,"South Australia","2019–20",1076,170589,171665,0.993732,99.37,135,-30,"1.1K","170.6K","171.7K","99%"
SA,"South Australia","2020–21",3579,7858,11437,0.687068,68.71,135,-30,"3.6K","7.9K","11.4K","69%"
NSW,"New South Wales","2016–17",12969,168250,181219,0.928435,92.84,146.8,-32,"13.0K","168.3K","181.2K","93%"
NSW,"New South Wales","2017–18",240034,22037,262071,0.084088,8.41,146.8,-32,"240.0K","22.0K","262.1K","8%"
NSW,"New South Wales","2018–19",2932,229930,232862,0.987409,98.74,146.8,-32,"2.9K","229.9K","232.9K","99%"
NSW,"New South Wales","2019–20",4222,4912322,4916544,0.999141,99.91,146.8,-32,"4.2K","4.9M","4.9M","100%"
NSW,"New South Wales","2020–21",31021,11672,42693,0.273394,27.34,146.8,-32,"31.0K","11.7K","42.7K","27%"
VIC,"Victoria","2016–17",43210,6533,49743,0.131335,13.13,144.4,-37,"43.2K","6.5K","49.7K","13%"
VIC,"Victoria","2017–18",35846,37987,73833,0.514499,51.45,144.4,-37,"35.8K","38.0K","73.8K","51%"
VIC,"Victoria","2018–19",56222,193927,250149,0.775246,77.52,144.4,-37,"56.2K","193.9K","250.1K","78%"
VIC,"Victoria","2019–20",23261,1410538,1433799,0.983777,98.38,144.4,-37,"23.3K","1.4M","1.4M","98%"
VIC,"Victoria","2020–21",66689,3849,70538,0.054566,5.46,144.4,-37,"66.7K","3.8K","70.5K","5%"
TAS,"Tasmania","2016–17",16816,5349,22165,0.241326,24.13,147,-42,"16.8K","5.3K","22.2K","24%"
TAS,"Tasmania","2017–18",17029,8958,25987,0.344711,34.47,147,-42,"17.0K","9.0K","26.0K","34%"
TAS,"Tasmania","2018–19",14036,110924,124960,0.887676,88.77,147,-42,"14.0K","110.9K","125.0K","89%"
TAS,"Tasmania","2019–20",11708,32891,44599,0.737483,73.75,147,-42,"11.7K","32.9K","44.6K","74%"
TAS,"Tasmania","2020–21",13951,1952,15903,0.122744,12.27,147,-42,"14.0K","2.0K","15.9K","12%"
ACT,"Australian Capital Territory","2016–17",567,0,567,0.000000,0.00,149,-35.3,"567","0","567","0%"
ACT,"Australian Capital Territory","2017–18",1264,88,1352,0.065089,6.51,149,-35.3,"1.3K","88","1.4K","7%"
ACT,"Australian Capital Territory","2018–19",2165,219,2384,0.091862,9.19,149,-35.3,"2.2K","219","2.4K","9%"
ACT,"Australian Capital Territory","2019–20",2,82324,82326,0.999976,100.00,149,-35.3,"2","82.3K","82.3K","100%"
ACT,"Australian Capital Territory","2020–21",144,0,144,0.000000,0.00,149,-35.3,"144","0","144","0%"
